product_uid,product_description
100148,"Everbilt Water Heater Blanket helps to save energy by making a gas, oil or electric water heater more efficient. This blanket is made of fiberglass backed with foil that enhances the water heater's insulation without adding excess bulk to it. It has an insulation rating of R-6.California residents: see&nbsp;Proposition 65 informationInsulates water heaterMade of fiberglass backed with foilVersatile for gas, oil or electric water heatersSaves energyEasy to install, includes tape strip 3 in. x 94.5 in."
100200,"Make a yard of difference and eliminate laborious bagging of yard and garden waste with the Flowtron Electric Leaf Eater. The Leaf Eater quickly and efficiently shreds leaves, pine needles and grass clippings, even paper, wet or dry. Reduce eleven bags of leaves and garden waste down to only 1 bag of nutrient rich mulch. Save time and money on leaf bags and trash pickups. The convenient built-in carrying handles makes the lightweight, portable Leaf Eater easy to mount directly on top of a trash container or use the elastic bungee cord to hold a leaf bag in place. Use during spring, summer and fall for ecological and economical yard clean ups.Coarse to fine shredding adjustmentHopper tilts to comfortable angle for easy loading; rotates 180 for compact storageConvenient built-in storage compartment holds spare, heavy-duty, flexible cutting lines, gloves and safety glasses (gloves and glasses not included)Extra-large 21 in. Dia funnelCircuit breaker with reset buttonIncludes 36 cutting linesHome Depot Protection Plan:"
100263,The BLACK+DECKER PP610 Pole saw is ideal for cutting for high hanging branches. This saw features a 6.5 Amp powerful motor for demanding cuts. A 10 in. Oregon low-kickback bar and chain allows for improved cutting performance.Sturdy 9.5 ft. extended pole for hard to reach branchesAutomatic oiling system ensures constant bar and chain lubricationInline motor for direct pruning and clear line of sightClear oil window for easy to gauge oil levelHome Depot Protection Plan:
100293,"Save time, money, and labor costs! Cortex for AZEK Trim is the only concealed fastening system to quickly, easily fasten AZEK PVC Trim to your building project. Cortex for AZEK eliminates the need to caulk, sand and paint every single nail hole! The unique bit sets screws below the surface and plugs made out of AZEK trim tap right in for a clean, flush finish. No mess and or fading over the life of the project. Plus, Cortex fasteners offer a stronger connection than nails. Box comes packed with everything needed to install 750 Ln. ft. of AZEK Trim - screws, plugs, and setting tool. Set screw. Set plug. All set.Fast and easy: eliminates the need to calk, sand and paint each nail holePlugs made out of same AZEK material as trim. Eliminates fading or streakingCan be paintedGuaranteed corrosion resistance for life of the project. ACQ approvedPackaging comes with everything needed - screws, plugs, and setting tool"
100315,"The Allied Tube and Conduit 3/4 in. x 10 ft. Electric Metallic Tube Conduit offers protection from magnetic fields, impact damage and crushing when pulling electrical cable. This steel conduit resists flattening, kinking and splitting and is coated with zinc for corrosion- and abrasion resistance.Protects insulated electrical conductors and cables from magnetic fields, impact damage and crushingE-Z Pull interior coating provides a smooth surface for faster wire pullingExcellent mechanical protection for conductorsDuctility for faster and easier bendingHigh grade mild strip steel for durability and longer lifeListed to underwriters laboratories safety standard UL 797Manufactured in accordance with ANSI C80.3Note: product may vary by storeNote: Product may vary by store."
100509,"Classic Stone Sandcrete patio on a pallet is a combination of three different sized patio stones: 8 in. x 8 in., 8 in. x 16 in. and 16 in. x 16 in. Sandcrete patio stones are 1.5 in. thick with variegated color though out the entire stone. Each patio stone has the look and feel of natural stone.Vibrant color blend with the look of natural stoneCan be combined for larger areasPrinted installation instructions and pattern placement map included with packagingEasy installation"
100660,"The performance of gas without the noise mess and fumes, now with extended run time: up to 80 minutes on a single charge. The EGO 56-Volt Lithium-Ion Mower delivers long-lasting power, rapid charging and durability in all weather conditions. The EGO Power+ 56-Volt battery can deliver Power Beyond Belief to all EGO outdoor power equipment.Up to 80 minutes of cut time60-minute charge time7.5 Ah 56-Volt battery can power all EGO products20 in. cut capacityWeather resistant construction3-in-1: mulching/bagging/side dischargeFolds easily for compact storagePush-button startSingle-lever, 5-position deck-height adjustmentEasy-access 1.7 bushel grass collectionLED headlights5 year limited warranty"
100709,"All HardiePlank lap siding comes in a variety of looks and textures, all of which are engineered for climate. We are so sure about how well the HardieZone system will perform, HardiePlank lap siding comes with a 30-year non-prorated, transferable, limited warrantyour strongest warranty ever.California residents: see&nbsp;Proposition 65 informationResists damage from moistureResists cracking, splitting, rotting and swellingResists termites and insectsSuperior performance in high wind and hurricane areasResists flame spreadComplete exterior available in lap, shingle, panel, fascia, trim and soffitPaint lasts longer than on woodPre-primed or available in ColorPlus technology a factory applied color finish with a variety of color optionsPlease see the Pro-desk associate for color options available"
100726,"The ClosetMaid 5-8 ft. ShelfTrack Closet Organizer Kit offers configuration and shelf adjustability for a custom fit. When assembled, the closet organizer's total dimensions are 78 in. H x 96 in. W x 12 in. D. This closet solution offers you ease in sliding hangers since the hang rods are engineered to attach to the shelving. The durable metal wire shelves have a smooth, nickel finish.Weight capacity of 60 lbs. per shelf (when evenly distributed), enabling you to store a large number of household and personal itemsVinyl-coated steel that holds its shape for years through repeated use18 ft. of shelf space and approximately 11 ft. of hanging spaceIncluded hardware and easy-to-follow instructionsManufacturer replacement of missing or damaged partsDemo of the ClosetMaid design tool: http://www.closetmaid.com/homedepot/en-US/Pages/Design-Tool-Demo.aspx/Additional ideas and designs: http://www.closetmaid.com/homedepot/en-US/Pages/DesignGalleryIntro.aspx"" Click Here for a Demo of the Design Tool"""" Click Here for Ideas and Designs"""
100822,"Classic Stone 0.5 cu. ft. Creek Stone is a great ground cover solution for enhancing the appearance of your landscape. This decorative landscape stone will help retain moisture in soil and help prevent erosion. Creek Stone is ideal for use around trees, shrubs and water features.Easy installationControls erosion to help protect your landscape0.5 cu. ft. bag covers approximately 3 sq. ft. when spread 2 in. thickAll online orders for this item may arrive in multiple packages"
